C1_0h  C1_24h_In/C1_24h_Un C1_48h_In/C1_48h_Un	C2_0h  C2_24h_In/C2_24h_Un C2_48h_In/C2_48h_Un	WT_0h  WT_24h_In/WT_24h_Un WT_48h_In/WT_48h_Un	Gene_Name                 Gene_Info 
 0.00                 1.33                0.83	 1.33                 1.00                1.75	 2.00                 0.75                0.43	TcIL3000.A.H_000178100.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.67                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000178200.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 0.60                1.00	TcIL3000.A.H_000178300.1  hypothetical protein
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000178400.1  hypothetical protein, conserved
 0.00                 1.00                0.60	 0.00                 0.63                1.33	 0.00                 1.67                0.75	TcIL3000.A.H_000178500.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000178600.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000178700.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000178800.1  hypothetical protein, conserved
 0.00                 1.00                0.60	 0.00                 1.00                1.00	 0.33                 1.00                1.00	TcIL3000.A.H_000178900.1  hypothetical protein, conserved
 0.67                 1.67                0.56	 0.67                 1.80                1.00	 1.00                 2.59                0.83	TcIL3000.A.H_000179000.1  hypothetical protein, conserved
 0.00                 1.67                0.75	 1.00                 0.75                1.00	 0.00                 1.67                1.00	TcIL3000.A.H_000179100.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000179200.1  hypothetical protein, conserved
 0.00                 1.00                1.67	 0.00                 1.00                1.33	 0.00                 1.00                1.00	TcIL3000.A.H_000179300.1  hypothetical protein, conserved
 0.67                 0.60                1.26	 0.00                 1.40                0.57	 0.00                 1.67                0.60	TcIL3000.A.H_000179400.1  hypothetical protein, conserved
 0.00                 0.43                1.00	 0.33                 0.75                1.00	 0.67                 1.67                2.00	TcIL3000.A.H_000179500.1  hypothetical protein
 2.00                 1.00                0.78	 1.33                 1.22                0.70	 1.00                 0.47                0.75	TcIL3000.A.H_000179600.1  hypothetical protein, conserved
33.00                 1.17                1.22	48.33                 1.20                1.10	46.67                 1.16                2.10	TcIL3000.A.H_000179700.1  lysosomal/endosomal membrane protein p67
 2.67                 0.54                0.87	 2.00                 3.00                1.43	 3.33                 1.25                1.00	TcIL3000.A.H_000179800.1  hypothetical protein, conserved
 3.33                 2.75                0.54	 2.33                 1.00                1.78	 2.67                 1.54                1.42	TcIL3000.A.H_000179900.1  hypothetical protein, conserved
 9.33                 0.91                0.86	 9.67                 0.55                0.91	 5.67                 0.41                2.54	TcIL3000.A.H_000180000.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000180100.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000180200.1  Beta-lactamase/D-alanyl-D-alanine carboxypeptidase/Beta-lactamase enzyme family, putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000180300.1  Beta-lactamase/D-alanyl-D-alanine carboxypeptidase/Beta-lactamase enzyme family, putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000180400.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000180500.1  Beta-lactamase/D-alanyl-D-alanine carboxypeptidase/Beta-lactamase enzyme family, putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000180600.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000180700.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000180800.1  Beta-lactamase/D-alanyl-D-alanine carboxypeptidase/Beta-lactamase enzyme family, putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000180900.1  hypothetical protein, conserved
69.00                 1.20                0.73	21.33                 1.24                0.31	21.33                 1.30                0.86	TcIL3000.A.H_000181000:rRNA unspecified product
 0.00                 1.22                0.46	 3.67                 1.33                3.67	 1.33                 0.78                1.00	TcIL3000.A.H_000181100:rRNA unspecified product
 4.00                 1.11                0.81	 4.33                 0.65                0.17	 4.67                 0.74                1.60	TcIL3000.A.H_000181200.1  hypothetical protein, conserved
 6.33                 0.73                0.60	 4.00                 0.50                1.06	 3.67                 1.05                1.54	TcIL3000.A.H_000181300.1  hypothetical protein, conserved
